make_model,power_kW,mileage,age,engine_size,type,price
Mercedes-Benz A 45 AMG,310.0,18900.0,2.0,1991.0,Used,69900.0
Mercedes-Benz A 35 AMG,225.0,18995.0,2.0,1991.0,Used,46990.0
Mercedes-Benz A 45 AMG,100.0,197000.0,7.0,2143.0,Used,16800.0
Mercedes-Benz CLA 180,90.0,83339.0,4.0,1595.0,Used,22550.0
Mercedes-Benz A 220,140.0,48900.0,3.0,1991.0,Used,26900.0
Mercedes-Benz A 35 AMG,225.0,56876.0,3.0,1991.0,Used,44999.0
Mercedes-Benz A 200,102.0,21854.0,4.0,1991.0,Used,23900.0
Mercedes-Benz A 45 AMG,280.0,90000.0,6.0,1991.0,Used,37999.0
Mercedes-Benz A 250,155.0,25914.0,9.0,1991.0,Used,23999.0
Mercedes-Benz A 180,85.0,27150.0,2.0,1461.0,Used,24400.0
Mercedes-Benz A 45 AMG,100.0,210000.0,6.0,2143.0,Used,16999.0
Mercedes-Benz A 250,118.0,21496.0,1.0,1332.0,Used,38999.0
Mercedes-Benz A 35 AMG,225.0,44000.0,3.0,1991.0,Used,41900.0
Mercedes-Benz A 180,85.0,21734.0,2.0,1461.0,Used,29800.0
Mercedes-Benz A 45 AMG,280.0,81500.0,6.0,1991.0,Used,37490.0
Mercedes-Benz A 180,80.0,172700.0,4.0,1461.0,Used,21000.0
Mercedes-Benz A 180,85.0,18989.0,2.0,1461.0,Used,26800.0
Mercedes-Benz A 180,100.0,25.0,1.0,1332.0,Pre-registered,32900.0
Mercedes-Benz A 200,120.0,24244.0,3.0,1332.0,Used,32950.0
Mercedes-Benz GLC 220,143.0,6589.0,1.0,1950.0,Used,64900.0
Mercedes-Benz A 180,80.0,172700.0,4.0,1461.0,Used,21000.0
Mercedes-Benz A 45 AMG,310.0,6564.0,1.0,1991.0,Used,67900.0
Mercedes-Benz A 45 AMG,265.0,120000.0,8.0,1991.0,Used,29990.0
Mercedes-Benz A 200,100.0,71752.0,17.0,2035.0,Used,8300.0
Mercedes-Benz A 200,120.0,34942.0,2.0,1332.0,Used,32950.0
Mercedes-Benz A 180,100.0,20124.0,2.0,1332.0,Used,32950.0
Mercedes-Benz A 250,160.0,11990.0,1.0,1332.0,Used,36900.0
Mercedes-Benz E 220,125.0,55226.0,6.0,2143.0,Used,29800.0
Mercedes-Benz A 180,90.0,63871.0,5.0,1595.0,Used,18390.0
Mercedes-Benz A 180,100.0,26900.0,2.0,1332.0,Used,25900.0
Mercedes-Benz A 180,85.0,87700.0,4.0,1461.0,Used,25400.0
Mercedes-Benz A 180,100.0,52497.0,3.0,1332.0,Used,29900.0
Mercedes-Benz A 180,80.0,118059.0,8.0,1461.0,Used,14490.0
Mercedes-Benz A 180,85.0,98258.0,3.0,1461.0,Used,20630.0
Mercedes-Benz A 180,85.0,141980.0,11.0,1699.0,Used,8490.0
Mercedes-Benz A 180,80.0,71098.0,4.0,1461.0,Used,23850.0
Mercedes-Benz A 220,140.0,26000.0,3.0,1991.0,Used,35500.0
Mercedes-Benz A 180,85.0,26500.0,1.0,1461.0,Used,29900.0
Mercedes-Benz A 180,85.0,43987.0,3.0,1461.0,Used,25900.0
Mercedes-Benz A 180,80.0,139000.0,6.0,1461.0,Used,16700.0
Mercedes-Benz A 180,80.0,71098.0,4.0,1461.0,Used,23850.0
Mercedes-Benz A 180,100.0,58813.0,2.0,1332.0,Used,27460.0
Mercedes-Benz A 200,100.0,100640.0,9.0,1796.0,Used,17399.0
Mercedes-Benz A 200,100.0,100000.0,6.0,2143.0,Used,23999.0
Mercedes-Benz A 180,85.0,98258.0,3.0,1461.0,Used,20630.0
Mercedes-Benz A 180,80.0,172700.0,4.0,1461.0,Used,21000.0
Mercedes-Benz A 180,85.0,68900.0,3.0,1461.0,Used,29900.0
Mercedes-Benz A 200,120.0,41272.0,4.0,1332.0,Used,27999.0
Mercedes-Benz A 180,85.0,49600.0,4.0,1461.0,Used,25600.0
Mercedes-Benz A 180,100.0,28330.0,2.0,1332.0,Used,26850.0
Mercedes-Benz A 250,173.0,9000.0,2.0,1332.0,Used,44785.0
Mercedes-Benz A 180,100.0,67626.0,2.0,1332.0,Used,25990.0
Mercedes-Benz A 200,110.0,8828.0,2.0,1950.0,Used,34995.0
Mercedes-Benz A 180,80.0,61618.0,4.0,1461.0,Used,27800.0
Mercedes-Benz A 180,100.0,17115.0,2.0,1332.0,Used,29999.0
Mercedes-Benz A 200,120.0,8000.0,1.0,1332.0,Demonstration,38350.0
Mercedes-Benz A 200,100.0,87500.0,6.0,2143.0,Used,23400.0
Mercedes-Benz A 200,100.0,116715.0,5.0,2143.0,Used,21450.0
Mercedes-Benz A 220,140.0,8000.0,1.0,1950.0,Demonstration,43880.0
Mercedes-Benz A 200,100.0,98781.0,5.0,2143.0,Used,23900.0
Mercedes-Benz A 180,100.0,19785.0,1.0,1461.0,Used,27900.0
Mercedes-Benz A 200,110.0,35758.0,2.0,1950.0,Used,33900.0
Mercedes-Benz A 45 AMG,310.0,30273.0,2.0,1991.0,Used,64999.0
Mercedes-Benz A 180,85.0,91754.0,3.0,1461.0,Used,27490.0
Mercedes-Benz A 180,90.0,46403.0,4.0,1595.0,Used,24780.0
Mercedes-Benz A 180,85.0,49658.0,10.0,1699.0,Used,9770.0
Mercedes-Benz A 180,80.0,71098.0,4.0,1461.0,Used,23850.0
Mercedes-Benz A 250,160.0,12265.0,2.0,1991.0,Used,33999.0
Mercedes-Benz A 180,100.0,23644.0,0.0,1332.0,Used,31950.0
Mercedes-Benz A 180,100.0,78300.0,3.0,1332.0,Used,25000.0
Mercedes-Benz A 180,80.0,93914.0,7.0,1461.0,Used,14700.0
Mercedes-Benz A 35 AMG,225.0,17900.0,1.0,1991.0,Used,32800.0
Mercedes-Benz A 180,80.0,199000.0,10.0,1991.0,Used,8950.0
Mercedes-Benz A 45 AMG,310.0,48000.0,2.0,1991.0,Used,66990.0
Mercedes-Benz A 35 AMG,225.0,58592.0,3.0,1991.0,Used,56980.0
Mercedes-Benz A 200,100.0,5934.0,1.0,1337.0,Used,46999.0
Mercedes-Benz A 45 AMG,280.0,100229.0,7.0,1991.0,Used,32999.0
Mercedes-Benz A 45 AMG,280.0,54510.0,5.0,1991.0,Used,39495.0
Mercedes-Benz A 250,202.0,49627.0,4.0,1991.0,Used,38850.0
Mercedes-Benz A 180,80.0,194367.0,8.0,1461.0,Used,10950.0
Mercedes-Benz A 180,80.0,184748.0,5.0,1461.0,Used,16750.0
Mercedes-Benz A 45 AMG,280.0,115949.0,6.0,1991.0,Used,30950.0
Mercedes-Benz A 180,80.0,236233.0,6.0,1461.0,Used,12950.0
Mercedes-Benz A 180,80.0,177477.0,6.0,1461.0,Used,12445.0
Mercedes-Benz A 35 AMG,225.0,59012.0,3.0,1991.0,Used,48950.0
Mercedes-Benz A 45 AMG,265.0,117613.0,9.0,1991.0,Used,28445.0
Mercedes-Benz A 200,100.0,4537.0,1.0,1337.0,Used,48136.0
Mercedes-Benz A 200,100.0,6642.0,1.0,2143.0,Used,51999.0
Mercedes-Benz A 180,90.0,188018.0,8.0,1595.0,Used,14945.0
Mercedes-Benz A 45 AMG,280.0,46300.0,6.0,1991.0,Used,39900.0
Mercedes-Benz A 45 AMG,280.0,136404.0,8.0,1991.0,Used,25950.0
